SKU,Product Title,Element Symbol,Element Name,Atomic Number,Collection Type,Retail Price,Current Stock,Status,Available for Subscription,Tags,Notes
Au10.1mm_empty,Labeled 14mm Boxes for 10mm Cubes,Au,Gold,79.0,10mm Cube,1.0,0.0,Active,No,"box, displays, size:standard",Precious metal - exclude from normal assignment; Out of stock
B10.1mm_empty,Labeled 14mm Boxes for 10mm Cubes,B,Boron,5.0,10mm Cube,1.0,0.0,Active,No,"box, displays, size:standard",Out of stock
Ba10.1mm_empty,Labeled 14mm Boxes for 10mm Cubes,Ba,Barium,56.0,10mm Cube,1.0,0.0,Active,No,"box, displays, size:standard",Out of stock
Br10.1mm_empty,Labeled 14mm Boxes for 10mm Cubes,Br,Bromine,35.0,10mm Cube,1.0,7.0,Active,Yes,"box, displays, size:standard",
Ca10.1mm_empty,Labeled 14mm Boxes for 10mm Cubes,Ca,Calcium,20.0,10mm Cube,1.0,0.0,Active,No,"box, displays, size:standard",Out of stock
Ce10.1mm_empty,Labeled 14mm Boxes for 10mm Cubes,Ce,Cerium,58.0,10mm Cube,1.0,0.0,Active,No,"box, displays, size:standard",Out of stock
Cl10.1mm_empty,Labeled 14mm Boxes for 10mm Cubes,Cl,Chlorine,17.0,10mm Cube,1.0,37.0,Active,Yes,"box, displays, size:standard",
Cs10.1mm_empty,Labeled 14mm Boxes for 10mm Cubes,Cs,Cesium,55.0,10mm Cube,1.0,17.0,Active,Yes,"box, displays, size:standard",
Eu10.1mm_empty,Labeled 14mm Boxes for 10mm Cubes,Eu,Europium,63.0,10mm Cube,1.25,2.0,Active,Yes,"box, displays, size:standard",
F10.1mm_empty,Labeled 14mm Boxes for 10mm Cubes,F,Fluorine,9.0,10mm Cube,1.0,6.0,Active,Yes,"box, displays, size:standard",
Ga10.1mm_empty,Labeled 14mm Boxes for 10mm Cubes,Ga,Gallium,31.0,10mm Cube,1.0,0.0,Active,No,"box, displays, size:standard",Out of stock
Hg10.1mm_empty,Labeled 14mm Boxes for 10mm Cubes,Hg,Mercury,80.0,10mm Cube,1.0,52.0,Active,Yes,"box, displays, size:standard",
I10.1mm_empty,Labeled 14mm Boxes for 10mm Cubes,I,Iodine,53.0,10mm Cube,1.0,3.0,Active,Yes,"box, displays, size:standard",
